ags,election_year,turnout,cdu_csu,spd,gruene,fdp,linke_pds,afd,bsw,winner_party,winner_voteshare,election_type,round,number_voters,eligible_voters
09778000,1984,0.776,0.8509,,,,,,,CSU,0.8509,Landratswahl,hauptwahl,66456,85636
09778000,1990,0.7598,0.7964,,,,,,,CSU,0.7964,Landratswahl,hauptwahl,68417,90048
09778000,1996,0.7042,0.5713,,,,,,,CSU,0.5713,Landratswahl,hauptwahl,67835,96324
09778000,2002,0.6595,0.7289,,,,,,,CSU,0.7289,Landratswahl,hauptwahl,67009,101602
09778000,2006,0.4277,,,,,,,,FW,0.5394,Landratswahl,hauptwahl,44533,104114
09778000,2012,0.4174,,,,,,,,FREIE WÄHLER,0.6226,Landratswahl,hauptwahl,44608,106868
09778000,2020,0.6098,,,,,,,,Freie Wähler Unterallgäu,0.4998,Landratswahl,hauptwahl,70426,115489
09778000,2020,0.598,,,,,,,,Freie Wähler Unterallgäu,0.801,Landratswahl,stichwahl,69061,115486
09778000,2026,0.6717,,,,,,,,FREIE WÄHLER/Freie Wähler Unterallgäu e.V.,0.5263,Landratswahl,hauptwahl,79201,117916
09779000,1945,,,,,,,,,,,Landratswahl,hauptwahl,,
09779000,1946,1,0.6889,,,,,,,CSU,0.6889,Landratswahl,hauptwahl,45,45
09779000,1948,1,0.625,,,,,,,CSU,0.625,Landratswahl,hauptwahl,45,45
09779000,1952,0.8673,,,,,,,,Rieser Wahlgemeinschaft (CSU/UdA/FDP/BP/Freie Wählergruppe),0.4504,Landratswahl,hauptwahl,23081,26611
09779000,1952,1,,0.5714,,,,,,SPD,0.5714,Landratswahl,stichwahl,42,42
09779000,1958,0.8082,,,,,,,,GB-BHE/SPD,0.6318,Landratswahl,hauptwahl,19225,23787
09779000,1964,0.7395,,,,,,,,Überp. Wgem.,0.6751,Landratswahl,hauptwahl,17284,23374
09779000,1970,0.7501,0.6308,,,,,,,CSU,0.6308,Landratswahl,hauptwahl,17054,22735
09779000,1972,0.8306,,,,,,,,Vereinigte Fr. Wgem.,0.5334,Landratswahl,hauptwahl,66059,79533
09779000,1978,0.8275,,,,,,,,Vereinigte Fr. Wgem.,0.9755,Landratswahl,hauptwahl,68755,83086
09779000,1984,0.8193,,0.5131,,,,,,SPD,0.5131,Landratswahl,hauptwahl,71954,87828
09779000,1990,0.8067,,0.8675,,,,,,SPD/Wgem.,0.8675,Landratswahl,hauptwahl,72428,89779
09779000,1996,0.7618,,0.7524,,,,,,SPD/Wgem.,0.7524,Landratswahl,hauptwahl,71585,93973
09779000,2002,0.7337,0.5604,,,,,,,CSU/Junge Bürger,0.5604,Landratswahl,hauptwahl,71688,97709
09779000,2008,0.6776,0.9415,,,,,,,CSU/Junge Bürger e.V.,0.9415,Landratswahl,hauptwahl,67797,100055
09779000,2014,0.6393,0.5002,,,,,,,CSU,0.5002,Landratswahl,hauptwahl,65941,103151
09779000,2020,0.6718,0.5842,,,,,,,CSU/Aktive Liste/Junge Bürger Donau-Ries,0.5842,Landratswahl,hauptwahl,71764,106828
09779000,2026,0.6968,,,,,,,,FREIE WÄHLER,0.3578,Landratswahl,hauptwahl,75110,107797
09779000,2026,0.5669,,,,,,,,FREIE WÄHLER,0.6229,Landratswahl,stichwahl,61021,107634
09780000,1972,0.7262,0.9708,,,,,,,CSU,0.9708,Landratswahl,hauptwahl,58844,81025
09780000,1978,0.773,0.66,,,,,,,CSU,0.66,Landratswahl,hauptwahl,67373,87157
09780000,1984,0.726,0.8018,,,,,,,CSU,0.8018,Landratswahl,hauptwahl,69114,95197
09780000,1990,0.7382,0.7026,,,,,,,CSU,0.7026,Landratswahl,hauptwahl,74520,100947
09780000,1996,0.6626,0.6636,,,,,,,CSU,0.6636,Landratswahl,hauptwahl,70849,106928
09780000,2002,0.6139,0.9338,,,,,,,CSU,0.9338,Landratswahl,hauptwahl,69300,112888
09780000,2008,0.6075,0.6998,,,,,,,CSU,0.6998,Landratswahl,hauptwahl,71539,117753
09780000,2014,0.597,0.5433,,,,,,,CSU,0.5433,Landratswahl,hauptwahl,72879,122072
09780000,2020,0.611,0.4432,,,,,,,CSU,0.4432,Landratswahl,hauptwahl,77070,126138
09780000,2020,0.6066,,,,,,,,FREIE WÄHLER/Freie Wähler Oberallgäu e.V.,0.5185,Landratswahl,stichwahl,76462,126043
09780000,2026,0.6641,,,,,,,,FREIE WÄHLER/Freie Wähler Oberallgäu e.V.,0.4081,Landratswahl,hauptwahl,84022,126523
09780000,2026,0.5006,,,,,,,,FREIE WÄHLER/Freie Wähler Oberallgäu e.V.,0.6634,Landratswahl,stichwahl,62980,125818
10041000,2024,0.5952,,0.3772,,,,,,SPD,0.3772,Landratswahl,hauptwahl,148183,248961
10041000,2024,0.2934,,0.5336,,,,,,SPD,0.5336,Landratswahl,stichwahl,73026,248854
10042000,2011,,0.7019,,,,,,,CDU,0.7019,Landratswahl,hauptwahl,,
10043000,2024,0.6352,,0.5288,,,,,,SPD,0.5288,Landratswahl,hauptwahl,67558,106351
10044000,2012,,,0.557,,,,,,SPD,0.557,Landratswahl,stichwahl,,
10045000,2014,,,0.504,,,,,,SPD,0.504,Landratswahl,stichwahl,,
10045000,2024,,,0.6064,,,,,,SPD,0.6064,Landratswahl,stichwahl,,
10046000,2024,,0.6519,,,,,,,CDU,0.6519,Landratswahl,hauptwahl,,
12060000,2026,0.4774,,0.4089,,,,,,SPD,0.4089,Landratswahl,hauptwahl,77101,161515
12061000,2023,0.5082,,,,,,0.3527,,AfD,0.3527,Landratswahl,hauptwahl,74680,146948
